date,spot,option_value,delta,gamma,vega,theta,implied_vol,hedge_units,hedge_value,cash,nav,total_pnl,option_pnl,hedge_pnl,delta_attr,gamma_attr,vega_attr,theta_attr
2024-03-08,147.075,3538252.4108966608,-637185.1245811239,166270.59395627707,19740255.870714683,-48777.114570955506,0.08347208047504814,637185.1245811239,93714002.19776879,-95960984.7799753,1291269.8286901563,60257.57759849727,500433.91936009144,-440176.34176158893,440176.34176158893,97116.54203133071,19299.759475356484,-52696.00066766715
2024-03-11,146.945,3500728.4335811236,-669584.5410162656,164369.94419337067,17388160.57504115,-50188.35171634165,0.08515206369513027,669584.5410162656,98392100.37963516,-100721917.02803719,1170911.7851790935,-120358.04351107776,-37523.977315537166,-82834.06619554322,82834.06619554322,1404.986518930443,33163.29862292841,-48777.114570955506
2024-03-12,147.695,3052973.1298806127,-522932.3944415465,202574.76399050414,21323065.23364059,-58632.048133511045,0.08806342585540435,522932.3944415465,77234499.9970442,-79062128.23968405,1225344.8872407675,54433.102061674,-447755.3037005109,502188.4057621992,-502188.4057621992,46229.04680438551,50623.23273494426,-50188.35171634165
2024-03-13,147.755,2914077.503180536,-528315.0500704958,211836.89291596776,20666430.307626184,-58381.305364580025,0.08584574244209274,528315.0500704958,78061190.22316611,-79857442.52213944,1117825.2042071968,-107519.68303357065,-138895.62670007674,31375.943666493982,-31375.943666493982,364.63457518293507,-47287.808089606086,-58632.048133511045
2024-03-14,148.325,2710575.6810535127,-384384.63455966825,233580.0600529092,23090534.446629986,-67171.69921467008,0.09111499688489297,384384.63455966825,57013850.92106279,-58508963.64149595,1215462.9606203511,97637.75641316175,-203501.82212702325,301139.578540179,-301139.578540179,34412.90325419814,108896.67971528055,-58381.305364580025
2024-03-15,149.035,2306944.4762008614,-224056.73935366643,275734.1972620898,24577382.610912677,-67429.19598798628,0.0861613307465354,224056.73935366643,33392296.149573676,-34614495.779469475,1084744.8463050611,-130718.11431527883,-403631.20485265134,272913.0905373675,-272913.0905373675,58873.854136337075,-114382.79860485003,-67171.69921467008
2024-03-18,149.155,1983501.4334150716,-198901.969105559,320723.8789567829,22529762.097435445,-70781.8597703381,0.08232173328580761,198901.969105559,29667223.201939654,-30862536.023113012,788188.6122417115,-296556.23406334966,-323443.0427857898,26886.80872244099,-26886.80872244099,1985.286220287197,-94367.25586419564,-67429.19598798628
2024-03-19,150.855,2036579.8957623865,371513.73519258614,306676.7404165705,20157703.881711587,-54392.91196867676,0.08109429755465263,-371513.73519258614,-56044704.52247758,55187525.04878366,1179400.4220684618,391211.8098267652,53078.462347314926,338133.347479448,-338133.347479448,463446.0050925452,-27653.83501281349,-70781.8597703381
2024-03-20,151.255,2145447.9733264693,517974.99551076785,283169.5712875413,17042640.42090339,-45050.15010914818,0.08001703159674566,-517974.99551076785,-78346307.94598119,77340522.97821024,1139663.0055555254,-39737.416512951255,108868.0775640828,-148605.49407703656,148605.49407703656,24534.13923332634,-21715.20818133708,-54392.91196867676
2024-03-21,151.62,2445817.943978693,591955.7375385289,241244.14522098604,14869258.61686803,-46706.715220580605,0.0889651115363938,-591955.7375385289,-89752328.92559175,88557483.08445936,1250972.1028463095,111309.09729078412,300369.97065222356,-189060.873361435,189060.873361435,18862.633067392286,152498.9088689223,-45050.15010914818
2024-03-22,151.435,2242692.9813082526,589611.4392031982,263706.5982986146,14212382.101566331,-47566.83264833937,0.08578003500738363,-589611.4392031982,-89287808.29573631,88202474.26604857,1157358.9516205043,-93613.15122582018,-203124.96267044032,109511.81144462919,-109511.81144462919,4128.290435094225,-47359.726624368705,-46706.715220580605
